evolvy_id,evolvy_inbox,chatwoot_inbox,created_at,data,periodo,status
31463,5599,1,1704207345,2024-01-02,dentro_periodo,importado
31464,5598,1,1704207373,2024-01-02,dentro_periodo,importado
31465,5598,1,1704207940,2024-01-02,dentro_periodo,importado
31466,5598,1,1704208000,2024-01-02,dentro_periodo,importado
31468,5871,7,1704208150,2024-01-02,dentro_periodo,importado
31469,5871,7,1704209215,2024-01-02,dentro_periodo,importado
31470,5598,1,1704209256,2024-01-02,dentro_periodo,importado
31471,5871,7,1704209299,2024-01-02,dentro_periodo,importado
31472,5871,7,1704209433,2024-01-02,dentro_periodo,importado
31473,5871,7,1704209433,2024-01-02,dentro_periodo,importado
31474,5871,7,1704209450,2024-01-02,dentro_periodo,importado
31475,5871,7,1704209702,2024-01-02,dentro_periodo,importado
31476,5871,7,1704209967,2024-01-02,dentro_periodo,importado
31477,5598,1,1704210154,2024-01-02,dentro_periodo,importado
31478,5599,1,1704210195,2024-01-02,dentro_periodo,importado
31481,5598,1,1704211001,2024-01-02,dentro_periodo,importado
31482,5871,7,1704211054,2024-01-02,dentro_periodo,importado
31483,5598,1,1704211699,2024-01-02,dentro_periodo,importado
31484,5598,1,1704211826,2024-01-02,dentro_periodo,importado
31486,5598,1,1704212260,2024-01-02,dentro_periodo,importado
31487,5598,1,1704212940,2024-01-02,dentro_periodo,importado
31489,5871,7,1704215546,2024-01-02,dentro_periodo,importado
31490,5598,1,1704215827,2024-01-02,dentro_periodo,importado
31491,5598,1,1704216640,2024-01-02,dentro_periodo,importado
31493,5599,1,1704217707,2024-01-02,dentro_periodo,importado
31494,5598,1,1704217810,2024-01-02,dentro_periodo,importado
31495,5598,1,1704218310,2024-01-02,dentro_periodo,importado
31496,5598,1,1704218322,2024-01-02,dentro_periodo,importado
31497,5598,1,1704218350,2024-01-02,dentro_periodo,importado
31532,5871,7,1704221092,2024-01-02,dentro_periodo,importado
31544,5598,1,1704221259,2024-01-02,dentro_periodo,importado
31552,5599,1,1704221362,2024-01-02,dentro_periodo,importado
31578,5871,7,1704221731,2024-01-02,dentro_periodo,importado
31623,5598,1,1704222398,2024-01-02,dentro_periodo,importado
31659,5598,1,1704222931,2024-01-02,dentro_periodo,importado
31696,5598,1,1704223457,2024-01-02,dentro_periodo,importado
31766,5598,1,1704224520,2024-01-02,dentro_periodo,importado
31785,5871,7,1704224780,2024-01-02,dentro_periodo,importado
31796,5598,1,1704224926,2024-01-02,dentro_periodo,importado
31812,5599,1,1704225143,2024-01-02,dentro_periodo,importado
31814,5871,7,1704225172,2024-01-02,dentro_periodo,importado
31828,5598,1,1704225364,2024-01-02,dentro_periodo,importado
31832,5871,7,1704225413,2024-01-02,dentro_periodo,importado
31842,5598,1,1704225530,2024-01-02,dentro_periodo,importado
31850,5871,7,1704225649,2024-01-02,dentro_periodo,importado
31863,5598,1,1704225839,2024-01-02,dentro_periodo,importado
31907,5871,7,1704226469,2024-01-02,dentro_periodo,importado
31909,5598,1,1704226482,2024-01-02,dentro_periodo,importado
31943,5598,1,1704226982,2024-01-02,dentro_periodo,importado
31951,5598,1,1704227092,2024-01-02,dentro_periodo,importado
31962,5871,7,1704227230,2024-01-02,dentro_periodo,importado
31988,5598,1,1704227616,2024-01-02,dentro_periodo,importado
31997,5598,1,1704227721,2024-01-02,dentro_periodo,importado
32071,5598,1,1704228802,2024-01-02,dentro_periodo,importado
32152,5598,1,1704230000,2024-01-02,dentro_periodo,importado
32178,5598,1,1704230386,2024-01-02,dentro_periodo,importado
32227,5598,1,1704231130,2024-01-02,dentro_periodo,importado
32280,5598,1,1704231895,2024-01-02,dentro_periodo,importado
32321,5599,1,1704232524,2024-01-02,dentro_periodo,importado
32339,5599,1,1704232797,2024-01-02,dentro_periodo,importado
32351,5871,7,1704232923,2024-01-02,dentro_periodo,importado
32359,5871,7,1704233010,2024-01-02,dentro_periodo,importado
32364,5598,1,1704233078,2024-01-02,dentro_periodo,importado
32375,5871,7,1704233215,2024-01-02,dentro_periodo,importado
32487,5598,1,1704234890,2024-01-02,dentro_periodo,importado
32539,5598,1,1704235634,2024-01-02,dentro_periodo,importado
32560,5871,7,1704235940,2024-01-02,dentro_periodo,importado
32563,5871,7,1704235983,2024-01-02,dentro_periodo,importado
32564,5598,1,1704235985,2024-01-02,dentro_periodo,importado
32568,5598,1,1704236016,2024-01-02,dentro_periodo,importado
32580,5871,7,1704236182,2024-01-02,dentro_periodo,importado
32597,5871,7,1704236428,2024-01-02,dentro_periodo,importado
32619,5871,7,1704236774,2024-01-02,dentro_periodo,importado
32621,5871,7,1704236781,2024-01-02,dentro_periodo,importado
32633,5871,7,1704237108,2024-01-02,dentro_periodo,importado
32722,5598,1,1704240298,2024-01-02,dentro_periodo,importado
32723,5871,7,1704240781,2024-01-02,dentro_periodo,importado
32724,5598,1,1704241305,2024-01-02,dentro_periodo,importado
32725,5871,7,1704242400,2024-01-02,dentro_periodo,importado
32726,5598,1,1704242526,2024-01-02,dentro_periodo,importado
32728,5598,1,1704243487,2024-01-02,dentro_periodo,importado
32730,5598,1,1704246455,2024-01-02,dentro_periodo,importado
32731,5871,7,1704248245,2024-01-02,dentro_periodo,importado
32733,5871,7,1704249135,2024-01-02,dentro_periodo,importado
32734,5598,1,1704250569,2024-01-02,dentro_periodo,importado
32735,5871,7,1704253375,2024-01-03,dentro_periodo,importado
32736,5871,7,1704261573,2024-01-03,dentro_periodo,importado
32737,5598,1,1704270127,2024-01-03,dentro_periodo,importado
32738,5599,1,1704274965,2024-01-03,dentro_periodo,importado
32739,5598,1,1704274994,2024-01-03,dentro_periodo,importado
32741,5598,1,1704276974,2024-01-03,dentro_periodo,importado
32742,5599,1,1704277158,2024-01-03,dentro_periodo,importado
32744,5599,1,1704277353,2024-01-03,dentro_periodo,importado
32745,5598,1,1704277917,2024-01-03,dentro_periodo,importado
32746,5598,1,1704278001,2024-01-03,dentro_periodo,importado
32747,5598,1,1704278109,2024-01-03,dentro_periodo,importado
32748,5598,1,1704278117,2024-01-03,dentro_periodo,importado
32749,5598,1,1704278573,2024-01-03,dentro_periodo,importado
32750,5598,1,1704278665,2024-01-03,dentro_periodo,importado
32751,5598,1,1704279333,2024-01-03,dentro_periodo,importado
32752,5598,1,1704279417,2024-01-03,dentro_periodo,importado
32755,5871,7,1704279635,2024-01-03,dentro_periodo,importado
32756,5598,1,1704280818,2024-01-03,dentro_periodo,importado
32757,5871,7,1704280843,2024-01-03,dentro_periodo,importado
32758,5871,7,1704281817,2024-01-03,dentro_periodo,importado
32759,5598,1,1704282213,2024-01-03,dentro_periodo,importado
32760,5598,1,1704282907,2024-01-03,dentro_periodo,importado
