inbox|conv_id|att_id|extension|mimetype
5871|103309|13311409|unknown|unknown
5871|103361|13312566|unknown|unknown
5871|103488|13316689|unknown|unknown
5871|103676|13320695|unknown|unknown
5871|103686|13321113|unknown|unknown
5871|103696|13321519|unknown|unknown
5871|103701|13321642|unknown|unknown
5871|103782|13323520|unknown|unknown
5871|103809|13326704|unknown|unknown
5871|103840|13333249|unknown|unknown
5871|103843|13333421|unknown|unknown
5871|103857|13334340|unknown|unknown
5871|103915|13342235|unknown|unknown
5871|103953|13347913|unknown|unknown
5871|103979|13350383|unknown|unknown
5871|104040|13352064|unknown|unknown
5871|104097|13355307|unknown|unknown
5871|104101|13355681|unknown|unknown
5871|104127|13360310|unknown|unknown
5871|104194|13366540|unknown|unknown
5871|104251|13373286|unknown|unknown
5871|104282|13376022|unknown|unknown
5871|104468|13385884|unknown|unknown
5871|104536|13393888|unknown|unknown
5871|104561|13396603|unknown|unknown
5871|104596|13400424|unknown|unknown
5871|104598|13400526|unknown|unknown
5871|104610|13402839|unknown|unknown
5871|104631|13404129|unknown|unknown
5871|104632|13404144|unknown|unknown
5871|104806|13418708|unknown|unknown
5871|104812|13419496|unknown|unknown
5871|104814|13419627|unknown|unknown
5871|104832|13422227|unknown|unknown
5871|104833|13422306|unknown|unknown
5871|104839|13422924|unknown|unknown
5871|104961|13434057|unknown|unknown
5871|105008|13435179|unknown|unknown
5871|105027|13435365|unknown|unknown
5871|105126|13448000|unknown|unknown
5871|105173|13453122|unknown|unknown
5871|105230|13458025|unknown|unknown
5871|105300|13460374|unknown|unknown
5871|105320|13460835|unknown|unknown
5871|105347|13461936|unknown|unknown
5871|105506|13468322|unknown|unknown
5871|105570|13469750|unknown|unknown
5871|105572|13469815|unknown|unknown
5871|105631|13472352|unknown|unknown
5871|105774|13474038|unknown|unknown
5871|105778|13474084|unknown|unknown
5871|105788|13474301|unknown|unknown
5871|105791|13474330|unknown|unknown
5871|105844|13475743|unknown|unknown
5871|105989|13484648|unknown|unknown
5871|106051|13493896|unknown|unknown
5871|106268|13506885|unknown|unknown
5871|106413|13532416|unknown|unknown
5871|106542|13539275|unknown|unknown
5871|106822|13548310|unknown|unknown
5871|106897|13561293|unknown|unknown
5871|107017|13565268|unknown|unknown
5871|107052|13566947|unknown|unknown
5871|107132|13577168|unknown|unknown
5871|107145|13579003|unknown|unknown
5871|107276|13591991|unknown|unknown
5871|107756|13630379|unknown|unknown
5871|107764|13630401|unknown|unknown
5871|107776|13630758|unknown|unknown
5871|107829|13631608|unknown|unknown
5871|108055|13642300|unknown|unknown
5871|108107|13652926|unknown|unknown
5871|108156|13661298|unknown|unknown
5871|108238|13665244|unknown|unknown
5871|108379|13684007|unknown|unknown
5871|108488|13691536|unknown|unknown
5871|108492|13691591|unknown|unknown
5871|108597|13699733|unknown|unknown
5871|108611|13701454|unknown|unknown
5871|108612|13702019|unknown|unknown
5871|108643|13706556|unknown|unknown
5871|108661|13712370|unknown|unknown
5871|108681|13715184|unknown|unknown
5871|108883|13736768|unknown|unknown
5871|109024|13750285|unknown|unknown
5871|109118|13762373|unknown|unknown
5871|109344|13782153|unknown|unknown
5871|109460|13791170|unknown|unknown
5871|109631|13797590|unknown|unknown
5871|109649|13798522|unknown|unknown
5871|109750|13802198|unknown|unknown
5871|110028|13831439|unknown|unknown
5871|110109|13841169|unknown|unknown
5871|110168|13850056|unknown|unknown
5871|110176|13852445|unknown|unknown
5871|110261|13858698|unknown|unknown
5871|110368|13866515|unknown|unknown
5871|110422|13873242|unknown|unknown
5871|110450|13878240|unknown|unknown
5871|110635|13887835|unknown|unknown
5871|110675|13893417|unknown|unknown
5871|110722|13897219|unknown|unknown
5871|110797|13908477|unknown|unknown
5871|110798|13908482|unknown|unknown
5871|110927|13910412|unknown|unknown
5871|110963|13913465|unknown|unknown
5871|111032|13921019|unknown|unknown
5871|111064|13925024|unknown|unknown
5871|111193|13933865|unknown|unknown
5871|111196|13933876|unknown|unknown
5871|111373|13939736|unknown|unknown
5871|111388|13940339|unknown|unknown
5871|111418|13940835|unknown|unknown
5871|111701|13944351|unknown|unknown
5871|111999|13957082|unknown|unknown
5871|112029|13960025|unknown|unknown
5871|112055|13962220|unknown|unknown
5871|112234|13970844|unknown|unknown
5871|112237|13970850|unknown|unknown
5871|112467|13989247|unknown|unknown
5871|112806|14010849|unknown|unknown
5871|112874|14018974|unknown|unknown
5871|112958|14020718|unknown|unknown
5871|113080|14028593|unknown|unknown
5871|113199|14041607|unknown|unknown
5871|113201|14041796|unknown|unknown
5871|113340|14045395|unknown|unknown
5871|113424|14054414|unknown|unknown
5871|113504|14062718|unknown|unknown
5871|113618|14068398|unknown|unknown
5871|113632|14068481|unknown|unknown
5871|113639|14068574|unknown|unknown
5871|113640|14068576|unknown|unknown
5871|113703|14071530|unknown|unknown
5871|113715|14072330|unknown|unknown
5871|113733|14073195|unknown|unknown
5871|113796|14076170|unknown|unknown
5871|113876|14077862|unknown|unknown
5871|113890|14078290|unknown|unknown
5871|113943|14079419|unknown|unknown
5871|113964|14079489|unknown|unknown
5871|114127|14093189|unknown|unknown
5871|114157|14096921|unknown|unknown
5871|114198|14103157|unknown|unknown
5871|114291|14106672|unknown|unknown
5871|114296|14106687|unknown|unknown
5871|114300|14106715|unknown|unknown
5871|114307|14106794|unknown|unknown
5871|114316|14107216|unknown|unknown
5871|114475|14126708|unknown|unknown
5871|114584|14133449|unknown|unknown
5871|114604|14133648|unknown|unknown
5871|114622|14134892|unknown|unknown
5871|114671|14141468|unknown|unknown
5871|114697|14143571|unknown|unknown
5871|114734|14149727|unknown|unknown
5871|115267|14158832|unknown|unknown
5871|115269|14158834|unknown|unknown
5871|115384|14167405|unknown|unknown
5871|115397|14168756|unknown|unknown
5871|115402|14169080|unknown|unknown
5871|115442|14173913|unknown|unknown
5871|115675|14183771|unknown|unknown
5871|115679|14183784|unknown|unknown
5871|115723|14184835|unknown|unknown
5871|115743|14186112|unknown|unknown
5871|115761|14188269|unknown|unknown
5871|115805|14192038|unknown|unknown
5871|115845|14195690|unknown|unknown
5871|115859|14196896|unknown|unknown
5871|115928|14205035|unknown|unknown
5871|116002|14206885|unknown|unknown
5871|116004|14206887|unknown|unknown
5871|116006|14206900|unknown|unknown
5871|116014|14206916|unknown|unknown
5871|116049|14207228|unknown|unknown
5871|116070|14207664|unknown|unknown
5871|116140|14210486|unknown|unknown
5871|116155|14211468|unknown|unknown
5871|116180|14212308|unknown|unknown
5871|116195|14212573|unknown|unknown
5871|116303|14214609|unknown|unknown
5871|116450|14215956|unknown|unknown
5871|116475|14216299|unknown|unknown
5871|116507|14216710|unknown|unknown
5871|116607|14217885|unknown|unknown
5871|116614|14217992|unknown|unknown
5871|116620|14218005|unknown|unknown
5871|116623|14218006|unknown|unknown
5871|116625|14218007|unknown|unknown
5871|116627|14218012|unknown|unknown
5871|116628|14218018|unknown|unknown
5871|116668|14218720|unknown|unknown
5871|116940|14245027|unknown|unknown
5871|116943|14245037|unknown|unknown
5871|116944|14245040|unknown|unknown
5871|116946|14245050|unknown|unknown
5871|116948|14245077|unknown|unknown
5871|116950|14245109|unknown|unknown
5871|116957|14245227|unknown|unknown
5871|116961|14245453|unknown|unknown
5871|117097|14259591|unknown|unknown
5871|117107|14262238|unknown|unknown
5871|117148|14266592|unknown|unknown
5871|117190|14269139|unknown|unknown
5871|117224|14270562|unknown|unknown
5871|117226|14270569|unknown|unknown
5871|117382|14290137|unknown|unknown
5871|117499|14295883|unknown|unknown
5871|117777|14315192|unknown|unknown
5871|117959|14320291|unknown|unknown
5871|117970|14320301|unknown|unknown
5871|118039|14320764|unknown|unknown
5871|118434|14343476|unknown|unknown
5871|118666|14348015|unknown|unknown
5871|119367|14370017|unknown|unknown
5871|119370|14370487|unknown|unknown
5871|119375|14371104|unknown|unknown
5871|119575|14384077|unknown|unknown
5871|119611|14384463|unknown|unknown
5871|119627|14385839|unknown|unknown
5871|119629|14385922|unknown|unknown
5871|119717|14396771|unknown|unknown
5871|119756|14400238|unknown|unknown
5871|119757|14400340|unknown|unknown
5871|119968|14413522|unknown|unknown
5871|120026|14414626|unknown|unknown
5871|120030|14414631|unknown|unknown
5871|120032|14414634|unknown|unknown
5871|120036|14414667|unknown|unknown
5871|120039|14414671|unknown|unknown
5871|120137|14423026|unknown|unknown
5871|120150|14424102|unknown|unknown
5871|120158|14425186|unknown|unknown
5871|120210|14428171|unknown|unknown
5871|120421|14445779|unknown|unknown
5871|120423|14445780|unknown|unknown
5871|120424|14445781|unknown|unknown
5871|120453|14446215|unknown|unknown
5871|120472|14447399|unknown|unknown
5871|120544|14456121|unknown|unknown
5871|120575|14459523|unknown|unknown
5871|120595|14462579|unknown|unknown
5871|120744|14474732|unknown|unknown
5871|120752|14474761|unknown|unknown
5871|120808|14477905|unknown|unknown
5871|120831|14481509|unknown|unknown
5871|120886|14487546|unknown|unknown
5871|121097|14500025|unknown|unknown
5871|121137|14500396|unknown|unknown
5871|121229|14502823|unknown|unknown
5871|121277|14503735|unknown|unknown
5871|121426|14506635|unknown|unknown
5871|121428|14506639|unknown|unknown
5871|121469|14506827|unknown|unknown
5871|121470|14506829|unknown|unknown
5871|121486|14506871|unknown|unknown
5871|121645|14508082|unknown|unknown
5871|121676|14508693|unknown|unknown
5871|121759|14509621|unknown|unknown
5871|121835|14510066|unknown|unknown
5871|121916|14511769|unknown|unknown
5871|121924|14512375|unknown|unknown
5871|122027|14524277|unknown|unknown
5871|122060|14528564|unknown|unknown
5871|122078|14530081|unknown|unknown
5871|122210|14538203|unknown|unknown
5871|122225|14538349|unknown|unknown
5871|122226|14538356|unknown|unknown
5871|122228|14538367|unknown|unknown
5871|122239|14538503|unknown|unknown
5871|122247|14538883|unknown|unknown
5871|122251|14539160|unknown|unknown
5871|122287|14548110|unknown|unknown
5871|122608|14562323|unknown|unknown
5871|122804|14568025|unknown|unknown
5871|122826|14568400|unknown|unknown
5871|122829|14568430|unknown|unknown
5871|122834|14568505|unknown|unknown
5871|122843|14568741|unknown|unknown
5871|122882|14571233|unknown|unknown
5871|122895|14573239|unknown|unknown
5871|123278|14595807|unknown|unknown
5871|123300|14595966|unknown|unknown
5871|123306|14595985|unknown|unknown
5871|123314|14596043|unknown|unknown
5871|123516|14608622|unknown|unknown
5871|123552|14610526|unknown|unknown
5871|123818|14626397|unknown|unknown
5871|123848|14626553|unknown|unknown
5871|123875|14627830|unknown|unknown
5871|123885|14628709|unknown|unknown
5871|123945|14634611|unknown|unknown
5871|123979|14637042|unknown|unknown
5871|124016|14639524|unknown|unknown
5871|124077|14646194|unknown|unknown
5871|124265|14650493|unknown|unknown
5871|124276|14650552|unknown|unknown
5871|124367|14652699|unknown|unknown
5871|124400|14653839|unknown|unknown
5871|124403|14653904|unknown|unknown
5871|124436|14655174|unknown|unknown
5871|124458|14655682|unknown|unknown
5871|124476|14656156|unknown|unknown
5871|124477|14656205|unknown|unknown
5871|124839|14659380|unknown|unknown
5871|124849|14659476|unknown|unknown
5871|125067|14660965|unknown|unknown
5871|125068|14660985|unknown|unknown
5871|125163|14666816|unknown|unknown
5871|125254|14674145|unknown|unknown
5871|125262|14674705|unknown|unknown
5871|125310|14678989|unknown|unknown
5871|125526|14686285|unknown|unknown
5871|125543|14686413|unknown|unknown
5871|125569|14687010|unknown|unknown
5871|126040|14713844|unknown|unknown
5871|126072|14716181|unknown|unknown
5871|126100|14719672|unknown|unknown
5871|126438|14740950|unknown|unknown
