chatwoot_id,evolvy_id,evolvy_inbox_id,inbox_id,inbox_name,status_anterior,status_novo,created_at
199203,94829,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 01:06:06
199204,94833,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 01:20:10
199207,94836,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 01:23:06
199208,94837,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 01:25:06
199210,94839,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 01:27:06
199211,94840,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 01:30:07
199212,94841,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 01:31:07
199213,94842,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 01:31:10
199215,94846,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 01:41:04
199217,94848,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 01:45:09
199218,94849,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 01:46:08
199219,94850,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 01:47:06
199223,94858,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 01:58:06
199224,94859,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 01:58:09
199226,94862,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 02:04:06
199227,94863,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 02:05:05
199228,94865,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 02:11:07
199229,94866,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 02:14:07
199230,94867,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 02:15:07
199231,94868,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 02:16:06
199232,94869,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 02:25:06
199234,94871,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 02:28:05
199235,94872,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 02:29:06
199236,94873,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 02:32:05
199237,94874,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 02:37:04
199238,94875,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 02:39:05
199239,94876,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 02:40:13
199240,94877,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 02:40:19
199241,94879,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 02:46:06
199242,94880,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 02:50:08
199244,94882,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 02:52:07
199245,94883,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 02:53:05
